Year,Quarter,Month,Month Name,Day,Date,Day_of_Week,Country,Region,City,Aircraft Manufacturer,Aircraft,Operator,Operator Category,Aboard,Fatalities (Air),Ground
1970,Qtr 2,4,April,28,1970-04-28,Tuesday,Papua New Guinea,,Kainatu,De Havilland Canada,De Havilland Canada Dhc 6 Twin Otter,Airlines Australia Guineatrans New,Commercial,11,8.0,0
1973,Qtr 2,4,April,10,1973-04-10,Tuesday,Switzerland,Basel,Basel,Vickers,Vickers Vanguard 952G,Uk Airlines International Switzerlandinvicta,Commercial,145,108.0,0
2000,Qtr 2,4,April,19,2000-04-19,Wednesday,Papua New Guinea,-,Pepa,Antonov,Antonov An 8Tl,Airlines Centrafricain,Commercial,24,24.0,0
1946,Qtr 2,4,April,30,1946-04-30,Tuesday,Pakistan,-,Pindi-Khut,Douglas,Douglas C 47A,Force Air Royal,Commercial,12,12.0,0
1960,Qtr 2,4,April,14,1960-04-14,Thursday,Taiwan,-,Taipei,Douglas,Douglas Dc 4,Force Air Thai Royal,Commercial,18,18.0,0
2024,Qtr 2,4,April,23,2024-04-23,Tuesday,United States,Fairbanks,Fairbanks,Douglas,Douglas C-54D Skymaster,Alaska Air Fuel,Commercial,2,2.0,0
1958,Qtr 2,4,April,21,1958-04-21,Monday,United States,10,Sloan,Douglas,Douglas Dc 7 F,Nevada Vegas Las Of Sw Miles United Air Lines  U S Air Force,Military,49,49.0,0
1997,Qtr 2,4,April,23,1997-04-23,Wednesday,Afghanistan,Afghanistan,Konduz,Antonov,Antonov An 26,Force Air Republican Afghan,Military,36,36.0,0
1988,Qtr 2,4,April,10,1988-04-10,Sunday,Afghanistan,Afghanistan,Mazâr-E Charif,Antonov,Antonov An 26,Force Air Republican Afghan,Military,29,29.0,0
1993,Qtr 2,4,April,27,1993-04-27,Tuesday,Afghanistan,Afghanistan,Kholm,Antonov,Antonov An 32,Force Air Republican Afghan,Military,76,76.0,0
2006,Qtr 2,4,April,24,2006-04-24,Monday,Afghanistan,Afghanistan,Lashkar Gah,Antonov,Antonov An,Leased Government U S,Government/Other,16,2.0,3
2013,Qtr 2,4,April,29,2013-04-29,Monday,Afghanistan,Afghanistan,Bagram Air Base,Boeing,Boeing B 747,Cargo Air National,Commercial,7,7.0,0
1973,Qtr 2,4,April,18,1973-04-18,Wednesday,Afghanistan,Afghanistan,Bamiyan,De Havilland Canada,De Havilland Canada Dhc 6 Twin Otter,Airlines Afghan Bakhtar,Commercial,19,4.0,0
1994,Qtr 2,4,April,26,1994-04-26,Tuesday,Japan,Aichi,Komaki,Airbus,Airbus A300,Japan China Airlines Taiwan,Commercial,271,264.0,0
1956,Qtr 2,4,April,9,1956-04-09,Monday,United States,Alaska,Skilak Lake,Aero Commander,Aero Commander 520,Airlines Cordova,Commercial,6,6.0,0
1976,Qtr 2,4,April,5,1976-04-05,Monday,United States,Alaska,Ketchikan,Boeing,Boeing B 727,Alaska Airlines,Commercial,50,1.0,0
1983,Qtr 2,4,April,7,1983-04-07,Thursday,United States,Alaska,Selawik,Britten-Norman,Britten Norman Bn,Airlines Northern Munz,Commercial,3,2.0,0
1964,Qtr 2,4,April,17,1964-04-17,Friday,United States,Alaska,Elim,Cessna,Cessna 185,Inc Airlines Alaska Wein,Commercial,2,2.0,0
1997,Qtr 2,4,April,10,1997-04-10,Thursday,United States,Alaska,Wainwright,Cessna,Cessna 208B Caravan,Services Aviation Hageland,Commercial,5,5.0,0
1982,Qtr 2,4,April,11,1982-04-11,Sunday,United States,Alaska,Tanana,Hughes,Hughes,Copters Tundra Taxi Air,Commercial,3,3.0,0
1993,Qtr 2,4,April,6,1993-04-06,Tuesday,United States,Alaska,950 Nm S Of Shemya,Mcdonnell Douglas,Mcdonnell Douglas Md 11B,Airlines Eastern China,Commercial,264,2.0,0
1944,Qtr 2,4,April,6,1944-04-06,Thursday,United States,Alaska,Nome,Pilgrim,Pilgrim,Airways World American Pan,Commercial,6,6.0,0
1957,Qtr 2,4,April,8,1957-04-08,Monday,Algeria,Algeria,Algiers,Douglas,Douglas Dc 3F,France Air,Commercial,34,34.0,0
1967,Qtr 2,4,April,11,1967-04-11,Tuesday,Algeria,Algeria,Tamanrasset,Douglas,Douglas Dc 47T,Air Algerie,Commercial,39,35.0,0
2018,Qtr 2,4,April,11,2018-04-11,Wednesday,Algeria,Algeria,Boufarik Ab,Ilyushin,Ilyushin 76,Force Air Algerian,Military,257,257.0,0
1988,Qtr 2,4,April,27,1988-04-27,Wednesday,Angola,Angola,Tchamulate,Antonov,Antonov An,Force Air Cuban,Military,29,29.0,0
2001,Qtr 2,4,April,28,2001-04-28,Saturday,Argentina,Argentina,Roque Perez,Cessna,Cessna 208B Grand Caravan,Group Techint Private,Private,10,10.0,0
1954,Qtr 2,4,April,23,1954-04-23,Friday,Argentina,Argentina,Sierra Del Vilgo,Douglas,Douglas Dc 3Lv,Aerolineas Argentinas,Commercial,25,25.0,0
1976,Qtr 2,4,April,14,1976-04-14,Wednesday,Argentina,Argentina,Neuquen,Hawker Siddeley,Hawker Siddeley Hs 748 2Lv,Fiscales Petroliferos Yacimientos,Commercial,34,34.0,0
1985,Qtr 2,4,April,11,1985-04-11,Thursday,Argentina,Argentina,Salta,Hawker Siddeley,Hs 125,Ypf,Commercial,7,7.0,0
1921,Qtr 2,4,April,6,1921-04-06,Wednesday,Australia,Australia,Point Cook,Avro,Avro 504,Force Air Australian Royal,Military,2,2.0,0
1945,Qtr 2,4,April,19,1945-04-19,Thursday,Australia,Australia,Perth,Douglas,Douglas Dc,Navy U S,Military,13,13.0,0
